iter	Passed	Remaining
436	1370	1765
437	1376	1765
438	1378	1761
439	1380	1757
440	1382	1752
441	1384	1748
442	1387	1744
443	1392	1743
444	1397	1743
445	1399	1738
446	1401	1734
447	1406	1732
448	1408	1728
449	1410	1723
450	1412	1719
451	1414	1714
452	1416	1709
453	1418	1705
454	1421	1703
455	1423	1698
456	1425	1694
457	1427	1689
458	1429	1684
459	1431	1680
460	1433	1676
461	1437	1673
462	1440	1670
463	1442	1666
464	1445	1663
465	1451	1663
466	1454	1659
467	1457	1656
468	1460	1653
469	1464	1651
470	1467	1648
471	1470	1644
472	1472	1640
473	1474	1636
474	1476	1631
475	1479	1629
476	1482	1625
477	1484	1620
478	1485	1616
479	1487	1611
480	1489	1606
481	1490	1602
482	1492	1597
483	1495	1593
484	1497	1589
485	1499	1585
486	1500	1580
487	1502	1576
488	1504	1571
489	1505	1567
490	1507	1562
491	1509	1558
492	1512	1555
493	1513	1550
494	1515	1546
495	1517	1541
496	1519	1537
497	1521	1533
498	1524	1530
499	1528	1528
500	1530	1524
501	1532	1520
502	1534	1516
503	1535	1511
504	1537	1507
505	1539	1502
506	1542	1499
507	1544	1495
508	1546	1491
509	1548	1487
510	1550	1483
511	1552	1479
512	1554	1475
513	1556	1471
514	1558	1467
515	1560	1463
516	1562	1459
517	1564	1455
518	1566	1451
519	1568	1447
520	1570	1443
521	1572	1440
522	1574	1436
523	1576	1432
524	1578	1428
525	1580	1424
526	1582	1420
527	1584	1416
528	1587	1413
529	1589	1409
530	1592	1406
531	1595	1403
532	1597	1399
533	1600	1396
534	1603	1393
535	1605	1389
536	1606	1385
537	1608	1381
538	1609	1376
539	1611	1372
540	1613	1368
541	1615	1365
542	1618	1361
543	1619	1357
544	1621	1353
545	1623	1349
546	1625	1345
547	1626	1341
548	1628	1337
549	1630	1333
550	1632	1330
551	1634	1326
552	1636	1323
553	1638	1319
554	1640	1315
555	1641	1310
556	1643	1306
557	1645	1303
558	1647	1299
559	1649	1296
560	1651	1292
561	1653	1288
562	1655	1285
563	1657	1281
564	1659	1277
565	1662	1274
566	1664	1271
567	1666	1267
568	1668	1263
569	1670	1259
570	1671	1255
571	1673	1252
572	1675	1248
573	1678	1245
574	1679	1241
575	1681	1237
576	1683	1233
577	1684	1230
578	1686	1226
579	1688	1222
580	1689	1218
581	1693	1216
582	1695	1212
583	1696	1208
584	1698	1204
585	1699	1201
586	1701	1197
587	1703	1193
588	1705	1189
589	1708	1187
590	1709	1183
591	1711	1179
592	1713	1175
593	1715	1172
